condition,encoding_voice,n_cells,mean_wr_acc,sd_wr_acc,total_correct,total_wr,overall_prop
HH,Active,114,0.6004385964912281,0.23806269600399643,342,572,0.5979020979020979
HH,Passive,114,0.43391812865497076,0.20084543317277326,258,585,0.441025641025641
HL,Active,113,0.6014749262536874,0.20876808830152868,340,577,0.5892547660311959
HL,Passive,113,0.43731563421828906,0.22731693245154982,257,581,0.4423407917383821
LH,Active,113,0.6084070796460177,0.21346215295241894,338,567,0.5961199294532628
LH,Passive,113,0.46091445427728617,0.24683281397151663,267,571,0.46760070052539404
LL,Active,112,0.5927083333333333,0.2286507980249303,309,535,0.577570093457944
LL,Passive,114,0.47368421052631576,0.23172533516628213,260,545,0.47706422018348627
